,Date,resultado
4,2021-11-09,8.0
5,2021-11-10,13.0
6,2021-11-11,22.0
7,2021-11-12,16.0
8,2021-11-13,6.0
13,2021-11-16,13.0
14,2021-11-17,22.0
21,2021-11-18,26.0
22,2021-11-19,22.0
23,2021-11-20,4.0
24,2021-11-22,14.0
26,2021-11-23,16.0
27,2021-11-24,19.0
28,2021-11-25,16.0
29,2021-11-26,20.0
30,2021-11-27,4.0
31,2021-11-29,16.0
40,2021-11-30,18.0
41,2021-12-01,14.0
42,2021-12-02,13.0
43,2021-12-03,18.0
44,2021-12-04,2.0
45,2021-12-06,16.0
46,2021-12-07,23.0
48,2021-12-08,0.0
47,2021-12-09,16.0
49,2021-12-10,20.0
50,2021-12-11,6.0
51,2021-12-12,0.0
52,2021-12-13,12.0
53,2021-12-14,14.0
54,2021-12-15,14.0
55,2021-12-16,19.0
56,2021-12-17,6.0
57,2021-12-18,5.0
58,2021-12-20,16.0
67,2021-12-21,11.0
68,2021-12-22,23.0
69,2021-12-23,22.0
70,2021-12-24,0.0
71,2021-12-25,0.0
72,2021-12-27,7.0
73,2021-12-28,14.0
74,2021-12-29,2.0
78,2021-12-30,8.0
75,2022-01-03,16.0
76,2022-01-04,19.0
77,2022-01-05,12.0
79,2022-01-06,9.0
80,2022-01-07,24.0
81,2022-01-08,6.0
82,2022-01-10,20.0
87,2022-01-11,18.0
88,2022-01-12,20.0
89,2022-01-13,17.0
91,2022-01-14,16.0
92,2022-01-15,5.0
93,2022-01-17,14.0
96,2022-01-18,15.0
97,2022-01-19,26.0
98,2022-01-20,20.0
99,2022-01-21,13.0
101,2022-01-22,3.0
100,2022-01-24,11.0
102,2022-01-25,16.0
103,2022-01-26,13.0
104,2022-01-27,17.0
105,2022-01-28,21.0
106,2022-01-29,2.0
107,2022-02-01,17.0
108,2022-02-02,17.0
109,2022-02-03,21.0
110,2022-02-04,10.0
111,2022-02-05,5.0
112,2022-02-07,12.0
113,2022-02-08,13.0
114,2022-02-09,16.0
115,2022-02-10,13.0
116,2022-02-11,5.0
117,2022-02-12,5.0
118,2022-02-14,13.0
119,2022-02-15,14.0
120,2022-02-16,18.0
122,2022-02-17,13.0
121,2022-02-18,9.0
123,2022-02-19,5.0
124,2022-02-21,11.0
125,2022-02-22,17.0
126,2022-02-23,19.0
90,2022-02-24,7.0
25,2022-02-25,11.0
32,2022-03-02,12.0
33,2022-03-03,12.0
0,2022-03-04,18.0
9,2022-03-05,9.0
64,2022-03-07,21.0
15,2022-03-08,17.0
34,2022-03-09,16.0
59,2022-03-10,15.0
17,2022-03-11,9.0
37,2022-03-12,7.0
60,2022-03-14,18.0
83,2022-03-15,21.0
18,2022-03-16,13.0
61,2022-03-18,19.0
1,2022-03-19,6.0
65,2022-03-21,20.0
85,2022-03-22,23.0
35,2022-03-23,23.0
2,2022-03-24,20.0
94,2022-03-25,20.0
36,2022-03-26,9.0
38,2022-03-28,24.0
10,2022-03-29,9.0
84,2022-03-30,22.0
62,2022-03-31,12.0
11,2022-04-01,16.0
19,2022-04-02,5.0
95,2022-04-04,22.0
16,2022-04-05,11.0
12,2022-04-06,15.0
39,2022-04-07,13.0
20,2022-04-08,15.0
63,2022-04-09,5.0
86,2022-04-11,21.0
66,2022-04-12,8.0
3,2022-04-13,24.0
127,2022-04-14,21.0
128,2022-04-18,19.0
129,2022-04-19,18.0
130,2022-04-20,23.0
131,2022-04-22,13.0
132,2022-04-23,5.0
133,2022-04-25,19.0
134,2022-04-26,13.0
135,2022-04-27,17.0
136,2022-04-28,12.0
137,2022-04-29,15.0
138,2022-04-30,3.0
139,2022-05-02,25.0
140,2022-05-03,24.0
141,2022-05-04,21.0
142,2022-05-05,15.0
146,2022-05-06,16.0
143,2022-05-07,5.0
144,2022-05-09,19.0
145,2022-05-10,22.0
147,2022-05-11,23.0
148,2022-05-12,15.0
149,2022-05-13,19.0
150,2022-05-14,7.0
151,2022-05-16,19.0
152,2022-05-17,26.0
153,2022-05-18,15.0
154,2022-05-19,13.0
155,2022-05-20,16.0
156,2022-05-21,5.0
